RELIG,CHILDS,AGEKDBRN,EDUC,HAPPY,ATTEND,GOD,INCOME16,FAMGEN,RELIG16,RELITEN,DEGREE,AGE,SEX,RACE,MARITAL,POLVIEWS,HRS1
PROTESTANT,0.0,,14.0,2.0,Several times a year,4.0,,2.0,PROTESTANT,Not very strong,High school,22.0,1.0,2.0,5.0,2.0,30.0
PROTESTANT,1.0,17.0,13.0,2.0,Several times a year,4.0,22.0,1.0,PROTESTANT,Not very strong,High school,69.0,2.0,2.0,1.0,2.0,
CATHOLIC,0.0,,16.0,1.0,Several times a year,6.0,24.0,1.0,CATHOLIC,Strong,Bachelor's,45.0,1.0,2.0,4.0,5.0,
MUSLIM/ISLAM,1.0,22.0,12.0,2.0,Never,6.0,,1.0,MUSLIM/ISLAM,Not very strong,High school,32.0,2.0,3.0,1.0,4.0,
CATHOLIC,1.0,19.0,4.0,1.0,Several times a year,6.0,8.0,1.0,ORTHODOX-CHRISTIAN,Strong,Less than high school,60.0,2.0,1.0,2.0,4.0,
CATHOLIC,1.0,25.0,12.0,3.0,Never,3.0,19.0,1.0,CATHOLIC,Not very strong,Less than high school,48.0,1.0,3.0,3.0,6.0,40.0
HINDUISM,1.0,30.0,12.0,3.0,About once or twice a year,6.0,2.0,1.0,HINDUISM,Strong,High school,81.0,2.0,3.0,3.0,2.0,
NONE,0.0,,18.0,2.0,Never,1.0,26.0,1.0,CATHOLIC,No religion,Graduate,50.0,1.0,3.0,1.0,2.0,40.0
CATHOLIC,2.0,29.0,14.0,1.0,Never,6.0,22.0,1.0,CATHOLIC,Strong,High school,78.0,2.0,1.0,1.0,5.0,
JEWISH,0.0,,18.0,2.0,Several times a year,2.0,20.0,1.0,JEWISH,Not very strong,Graduate,56.0,1.0,1.0,5.0,1.0,
CATHOLIC,0.0,,14.0,2.0,Every week,6.0,22.0,1.0,CATHOLIC,Strong,High school,60.0,1.0,1.0,5.0,5.0,40.0
CATHOLIC,0.0,,12.0,2.0,Never,3.0,25.0,2.0,CATHOLIC,Not very strong,High school,23.0,1.0,1.0,5.0,4.0,64.0
CATHOLIC,5.0,20.0,16.0,1.0,Less than once a year,6.0,,1.0,CATHOLIC,Somewhat strong (vol.),Bachelor's,54.0,2.0,1.0,1.0,,30.0
CATHOLIC,2.0,27.0,14.0,3.0,Nearly every week,6.0,25.0,1.0,CATHOLIC,Strong,Associate/junior college,62.0,2.0,1.0,1.0,3.0,
PROTESTANT,2.0,23.0,14.0,1.0,About once or twice a year,3.0,22.0,1.0,PROTESTANT,Somewhat strong (vol.),Associate/junior college,55.0,2.0,1.0,3.0,4.0,36.0
